run_id,approach,comms_dropout,seed,steps,grid_size,terrain_source,terrain_cache_path,ignore_happo_env
0,random_action,0.0,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
1,random_action,0.0,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
2,random_action,0.0,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
3,random_action,0.0,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
4,random_action,0.0,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
5,random_action,0.0,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
6,random_action,0.0,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
7,random_action,0.0,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
8,random_action,0.0,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
9,random_action,0.0,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
10,random_action,0.0,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
11,random_action,0.0,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
12,random_action,0.0,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
13,random_action,0.0,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
14,random_action,0.0,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
15,random_action,0.0,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
16,random_action,0.0,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
17,random_action,0.2,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
18,random_action,0.2,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
19,random_action,0.2,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
20,random_action,0.2,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
21,random_action,0.2,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
22,random_action,0.2,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
23,random_action,0.2,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
24,random_action,0.2,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
25,random_action,0.2,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
26,random_action,0.2,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
27,random_action,0.2,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
28,random_action,0.2,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
29,random_action,0.2,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
30,random_action,0.2,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
31,random_action,0.2,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
32,random_action,0.2,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
33,random_action,0.2,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
34,random_action,0.4,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
35,random_action,0.4,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
36,random_action,0.4,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
37,random_action,0.4,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
38,random_action,0.4,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
39,random_action,0.4,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
40,random_action,0.4,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
41,random_action,0.4,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
42,random_action,0.4,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
43,random_action,0.4,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
44,random_action,0.4,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
45,random_action,0.4,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
46,random_action,0.4,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
47,random_action,0.4,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
48,random_action,0.4,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
49,random_action,0.4,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
50,random_action,0.4,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
51,random_action,0.6,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
52,random_action,0.6,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
