source_file,timestamp,strategy,seed,comms_dropout,grid_size,n_steps,actual_n_steps,n_drones,n_ground,n_survivors,sim_step_seconds,actual_duration_seconds,terrain_source,survivor_recall,time_to_verification,false_positive_trips,hazard_exposure,ugv_travel_cost,n_frames,peak_fire_cells,final_fire_cells,peak_smoke_cells,final_smoke_cells,steps_to_first_scouted,steps_to_first_found,final_scouted,final_found,mean_comms_uptime,total_drone_path_len
ant_colony__d0p0__s0__20260615-073351-106381.json,20260615-073351-106381,ant_colony,0,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,36,0.0,501,1934,1792,4905,4905,,,0,0,1.0,38.6623
ant_colony__d0p0__s10__20260615-074520-787220.json,20260615-074520-787220,ant_colony,10,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,2.684652521740645,501,453,16,610,104,162,,1,0,1.0,38.8498
ant_colony__d0p0__s11__20260615-074639-119720.json,20260615-074639-119720,ant_colony,11,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,229.0,0,184,2.1722115631950096,501,1733,1690,3690,3690,34,263,1,1,1.0,38.5186
ant_colony__d0p0__s12__20260615-074756-858797.json,20260615-074756-858797,ant_colony,12,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,1.554317709757015,501,488,70,827,621,313,,1,0,1.0,39.0466
ant_colony__d0p0__s13__20260615-074904-075554.json,20260615-074904-075554,ant_colony,13,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,210.0,0,0,4.182136871851981,501,443,54,908,489,149,395,3,2,1.0,39.421
ant_colony__d0p0__s14__20260615-075009-937949.json,20260615-075009-937949,ant_colony,14,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,2.6245460445061326,501,2134,1275,4783,4783,201,,1,0,1.0,39.0911
ant_colony__d0p0__s15__20260615-075124-100083.json,20260615-075124-100083,ant_colony,15,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.6,129.0,0,7,3.421506809461425,501,2201,1697,5481,5469,83,167,3,3,1.0,38.5212
ant_colony__d0p0__s16__20260615-075226-523833.json,20260615-075226-523833,ant_colony,16,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,167.5,0,57,5.213640768546611,501,486,111,946,625,94,217,3,2,1.0,38.7693
ant_colony__d0p0__s1__20260615-073510-504386.json,20260615-073510-504386,ant_colony,1,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,150.5,0,47,5.904071791563183,501,1897,1878,4699,4699,39,250,3,2,1.0,38.9157
ant_colony__d0p0__s2__20260615-073617-640954.json,20260615-073617-640954,ant_colony,2,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.6,241.66666666666666,0,17,6.004420227371156,501,451,367,1135,1024,85,245,4,3,1.0,38.9859
ant_colony__d0p0__s3__20260615-073711-250590.json,20260615-073711-250590,ant_colony,3,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,276.0,0,0,2.72949402818125,501,443,127,811,559,90,366,2,1,1.0,39.0565
ant_colony__d0p0__s4__20260615-073815-014860.json,20260615-073815-014860,ant_colony,4,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,253.0,0,0,4.540525202953148,501,439,105,847,512,36,279,2,2,1.0,38.8061
ant_colony__d0p0__s5__20260615-073939-761610.json,20260615-073939-761610,ant_colony,5,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,65.0,0,0,1.7112221738539688,501,1983,1472,4387,4387,199,307,3,2,1.0,38.1141
ant_colony__d0p0__s6__20260615-074054-885912.json,20260615-074054-885912,ant_colony,6,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,223.0,0,105,2.1201359828586988,501,447,146,1126,564,154,377,1,1,1.0,39.4957
ant_colony__d0p0__s7__20260615-074211-337423.json,20260615-074211-337423,ant_colony,7,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,53.5,0,6,3.9848596388474107,501,1963,1942,4167,4167,161,373,3,2,1.0,38.5155
ant_colony__d0p0__s8__20260615-074310-215714.json,20260615-074310-215714,ant_colony,8,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,309.0,0,0,2.6824748576457296,501,1897,1448,3785,3785,113,422,1,1,1.0,39.3104
ant_colony__d0p0__s9__20260615-074408-663914.json,20260615-074408-663914,ant_colony,9,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,0.13043342111632228,501,590,219,1400,1080,485,,1,0,1.0,38.9597
ant_colony__d0p2__s0__20260615-075426-616140.json,20260615-075426-616140,ant_colony,0,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,193.0,0,0,3.9391156466133177,501,1901,1701,4415,4415,61,231,2,2,0.7972,39.1325
ant_colony__d0p2__s10__20260615-081719-214705.json,20260615-081719-214705,ant_colony,10,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,180.0,0,0,6.112833791645244,501,480,16,696,83,113,234,3,2,0.8092,38.7808
ant_colony__d0p2__s11__20260615-081913-260277.json,20260615-081913-260277,ant_colony,11,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,276.0,0,0,4.693255650810897,501,424,26,542,255,191,467,2,1,0.7924,38.5971
ant_colony__d0p2__s12__20260615-082148-007133.json,20260615-082148-007133,ant_colony,12,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,158.5,0,6,5.3331927596743185,501,855,855,1935,1935,45,254,4,2,0.8128,38.5377
ant_colony__d0p2__s13__20260615-082331-983738.json,20260615-082331-983738,ant_colony,13,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,59.0,0,351,1.417535639026113,501,1736,1570,4170,4170,39,98,1,1,0.7996,38.7232
ant_colony__d0p2__s14__20260615-082522-690462.json,20260615-082522-690462,ant_colony,14,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,0.8730291412211955,501,474,102,856,303,436,,1,0,0.7952,38.2607
ant_colony__d0p2__s15__20260615-082752-995874.json,20260615-082752-995874,ant_colony,15,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,341.0,0,0,5.816908479435369,501,1555,1553,2708,2708,150,491,1,1,0.7916,38.9066
ant_colony__d0p2__s16__20260615-082936-435973.json,20260615-082936-435973,ant_colony,16,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,131.0,0,0,1.9723608217843385,501,456,147,1103,574,20,151,2,1,0.804,38.4318
ant_colony__d0p2__s1__20260615-075915-197956.json,20260615-075915-197956,ant_colony,1,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,253.0,0,0,4.131537462119013,501,508,106,1098,703,216,469,4,1,0.816,38.3374
ant_colony__d0p2__s2__20260615-080233-370817.json,20260615-080233-370817,ant_colony,2,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,324.0,0,0,4.547353963269899,501,2068,1808,5205,5205,95,419,3,1,0.8028,38.2705
